PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 1.8500e-01    1.1934e+02   -5.4451e-01    1.4709e+00
 1.8600e-01    1.1946e+02   -5.4303e-01    1.4697e+00
 1.8700e-01    1.1958e+02   -5.4135e-01    1.4685e+00
 1.8800e-01    1.1970e+02   -5.3946e-01    1.4672e+00
 1.8900e-01    1.1983e+02   -5.3740e-01    1.4659e+00
 1.9000e-01    1.1996e+02   -5.3519e-01    1.4645e+00
 1.9100e-01    1.2010e+02   -5.3286e-01    1.4631e+00
 1.9200e-01    1.2023e+02   -5.3047e-01    1.4617e+00
 1.9300e-01    1.2037e+02   -5.2804e-01    1.4603e+00
 1.9400e-01    1.2050e+02   -5.2563e-01    1.4589e+00
 1.9500e-01    1.2064e+02   -5.2328e-01    1.4575e+00
 1.9600e-01    1.2077e+02   -5.2105e-01    1.4561e+00
 1.9700e-01    1.2089e+02   -5.1901e-01    1.4548e+00
 1.9800e-01    1.2101e+02   -5.1717e-01    1.4535e+00
 1.9900e-01    1.2113e+02   -5.1560e-01    1.4523e+00
 2.0000e-01    1.2123e+02   -5.1430e-01    1.4512e+00
 2.0100e-01    1.2133e+02   -5.1329e-01    1.4501e+00
 2.0200e-01    1.2142e+02   -5.1255e-01    1.4491e+00
 2.0300e-01    1.2151e+02   -5.1207e-01    1.4482e+00
 2.0400e-01    1.2159e+02   -5.1184e-01    1.4473e+00
 2.0500e-01    1.2166e+02   -5.1181e-01    1.4465e+00
 2.0600e-01    1.2173e+02   -5.1191e-01    1.4458e+00
 2.0700e-01    1.2180e+02   -5.1212e-01    1.4450e+00
 2.0800e-01    1.2186e+02   -5.1236e-01    1.4443e+00
 2.0900e-01    1.2193e+02   -5.1255e-01    1.4436e+00
 2.1000e-01    1.2200e+02   -5.1268e-01    1.4428e+00
 2.1100e-01    1.2207e+02   -5.1270e-01    1.4420e+00
 2.1200e-01    1.2215e+02   -5.1256e-01    1.4412e+00
 2.1300e-01    1.2223e+02   -5.1222e-01    1.4404e+00
 2.1400e-01    1.2231e+02   -5.1162e-01    1.4395e+00
 2.1500e-01    1.2240e+02   -5.1079e-01    1.4385e+00
 2.1600e-01    1.2250e+02   -5.0967e-01    1.4374e+00
 2.1700e-01    1.2261e+02   -5.0825e-01    1.4363e+00
 2.1800e-01    1.2272e+02   -5.0656e-01    1.4350e+00
 2.1900e-01    1.2284e+02   -5.0458e-01    1.4338e+00
 2.2000e-01    1.2296e+02   -5.0247e-01    1.4324e+00
 2.2100e-01    1.2308e+02   -5.0026e-01    1.4311e+00
 2.2200e-01    1.2321e+02   -4.9793e-01    1.4297e+00
 2.2300e-01    1.2333e+02   -4.9557e-01    1.4283e+00
 2.2400e-01    1.2345e+02   -4.9325e-01    1.4269e+00
 2.2500e-01    1.2357e+02   -4.9105e-01    1.4256e+00
 2.2600e-01    1.2368e+02   -4.8902e-01    1.4243e+00
 2.2700e-01    1.2379e+02   -4.8721e-01    1.4231e+00
 2.2800e-01    1.2389e+02   -4.8569e-01    1.4219e+00
 2.2900e-01    1.2399e+02   -4.8445e-01    1.4208e+00
 2.3000e-01    1.2407e+02   -4.8355e-01    1.4198e+00
 2.3100e-01    1.2415e+02   -4.8296e-01    1.4189e+00
 2.3200e-01    1.2422e+02   -4.8269e-01    1.4181e+00
 2.3300e-01    1.2429e+02   -4.8273e-01    1.4173e+00
 2.3400e-01    1.2435e+02   -4.8300e-01    1.4166e+00
 2.3500e-01    1.2441e+02   -4.8343e-01    1.4159e+00
 2.3600e-01    1.2446e+02   -4.8399e-01    1.4153e+00
 2.3700e-01    1.2451e+02   -4.8461e-01    1.4147e+00
 2.3800e-01    1.2457e+02   -4.8513e-01    1.4141e+00
 2.3900e-01    1.2463e+02   -4.8553e-01    1.4134e+00
 2.4000e-01    1.2469e+02   -4.8572e-01    1.4127e+00
 2.4100e-01    1.2476e+02   -4.8563e-01    1.4120e+00
 2.4200e-01    1.2484e+02   -4.8521e-01    1.4111e+00
 2.4300e-01    1.2492e+02   -4.8447e-01    1.4102e+00
 2.4400e-01    1.2501e+02   -4.8333e-01    1.4091e+00
 2.4500e-01    1.2512e+02   -4.8178e-01    1.4080e+00
 2.4600e-01    1.2523e+02   -4.7986e-01    1.4068e+00
 2.4700e-01    1.2534e+02   -4.7763e-01    1.4054e+00
 2.4800e-01    1.2546e+02   -4.7519e-01    1.4041e+00
 2.4900e-01    1.2559e+02   -4.7257e-01    1.4026e+00
 2.5000e-01    1.2571e+02   -4.6987e-01    1.4012e+00
 2.5100e-01    1.2583e+02   -4.6723e-01    1.3997e+00
 2.5200e-01    1.2595e+02   -4.6476e-01    1.3983e+00
 2.5300e-01    1.2606e+02   -4.6259e-01    1.3970e+00
 2.5400e-01    1.2617e+02   -4.6080e-01    1.3958e+00
 2.5500e-01    1.2626e+02   -4.5944e-01    1.3947e+00
 2.5600e-01    1.2634e+02   -4.5867e-01    1.3937e+00
 2.5700e-01    1.2641e+02   -4.5844e-01    1.3929e+00
 2.5800e-01    1.2646e+02   -4.5868e-01    1.3922e+00
 2.5900e-01    1.2651e+02   -4.5929e-01    1.3916e+00
 2.6000e-01    1.2656e+02   -4.6024e-01    1.3911e+00
 2.6100e-01    1.2659e+02   -4.6143e-01    1.3906e+00
 2.6200e-01    1.2663e+02   -4.6271e-01    1.3902e+00
 2.6300e-01    1.2667e+02   -4.6392e-01    1.3898e+00
 2.6400e-01    1.2671e+02   -4.6493e-01    1.3894e+00
 2.6500e-01    1.2675e+02   -4.6560e-01    1.3888e+00
 2.6600e-01    1.2681e+02   -4.6588e-01    1.3882e+00
 2.6700e-01    1.2688e+02   -4.6568e-01    1.3874e+00
 2.6800e-01    1.2696e+02   -4.6496e-01    1.3865e+00
 2.6900e-01    1.2705e+02   -4.6369e-01    1.3855e+00
 2.7000e-01    1.2715e+02   -4.6192e-01    1.3843e+00
 2.7100e-01    1.2726e+02   -4.5972e-01    1.3830e+00
 2.7200e-01    1.2737e+02   -4.5710e-01    1.3816e+00
 2.7300e-01    1.2750e+02   -4.5422e-01    1.3801e+00
 2.7400e-01    1.2762e+02   -4.5122e-01    1.3786e+00
 2.7500e-01    1.2775e+02   -4.4827e-01    1.3771e+00
 2.7600e-01    1.2787e+02   -4.4549e-01    1.3756e+00
 2.7700e-01    1.2798e+02   -4.4300e-01    1.3742e+00
 2.7800e-01    1.2808e+02   -4.4101e-01    1.3729e+00
 2.7900e-01    1.2817e+02   -4.3963e-01    1.3719e+00
 2.8000e-01    1.2824e+02   -4.3884e-01    1.3709e+00
 2.8100e-01    1.2830e+02   -4.3873e-01    1.3702e+00
 2.8200e-01    1.2835e+02   -4.3919e-01    1.3696e+00
 2.8300e-01    1.2839e+02   -4.4019e-01    1.3691e+00
 2.8400e-01    1.2842e+02   -4.4159e-01    1.3687e+00
 2.8500e-01    1.2844e+02   -4.4318e-01    1.3684e+00
 2.8600e-01    1.2847e+02   -4.4482e-01    1.3681e+00
 2.8700e-01    1.2849e+02   -4.4638e-01    1.3678e+00
 2.8800e-01    1.2853e+02   -4.4764e-01    1.3674e+00
 2.8900e-01    1.2857e+02   -4.4834e-01    1.3669e+00
 2.9000e-01    1.2863e+02   -4.4844e-01    1.3662e+00
 2.9100e-01    1.2870e+02   -4.4785e-01    1.3653e+00
 2.9200e-01    1.2878e+02   -4.4660e-01    1.3643e+00
 2.9300e-01    1.2888e+02   -4.4466e-01    1.3631e+00
 2.9400e-01    1.2899e+02   -4.4215e-01    1.3617e+00
