PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 1.8300e-01    1.3883e+02   -7.2038e-01    1.2900e+00
 1.8400e-01    1.3889e+02   -7.1922e-01    1.2890e+00
 1.8500e-01    1.3896e+02   -7.1800e-01    1.2879e+00
 1.8600e-01    1.3903e+02   -7.1677e-01    1.2868e+00
 1.8700e-01    1.3910e+02   -7.1555e-01    1.2859e+00
 1.8800e-01    1.3916e+02   -7.1437e-01    1.2848e+00
 1.8900e-01    1.3923e+02   -7.1323e-01    1.2839e+00
 1.9000e-01    1.3929e+02   -7.1214e-01    1.2828e+00
 1.9100e-01    1.3935e+02   -7.1114e-01    1.2820e+00
 1.9200e-01    1.3940e+02   -7.1023e-01    1.2811e+00
 1.9300e-01    1.3945e+02   -7.0939e-01    1.2801e+00
 1.9400e-01    1.3950e+02   -7.0865e-01    1.2794e+00
 1.9500e-01    1.3955e+02   -7.0801e-01    1.2789e+00
 1.9600e-01    1.3960e+02   -7.0745e-01    1.2780e+00
 1.9700e-01    1.3964e+02   -7.0698e-01    1.2774e+00
 1.9800e-01    1.3968e+02   -7.0658e-01    1.2768e+00
 1.9900e-01    1.3972e+02   -7.0624e-01    1.2762e+00
 2.0000e-01    1.3975e+02   -7.0594e-01    1.2757e+00
 2.0100e-01    1.3979e+02   -7.0569e-01    1.2751e+00
 2.0200e-01    1.3982e+02   -7.0545e-01    1.2748e+00
 2.0300e-01    1.3986e+02   -7.0521e-01    1.2741e+00
 2.0400e-01    1.3989e+02   -7.0500e-01    1.2736e+00
 2.0500e-01    1.3993e+02   -7.0476e-01    1.2730e+00
 2.0600e-01    1.3996e+02   -7.0449e-01    1.2727e+00
 2.0700e-01    1.4000e+02   -7.0419e-01    1.2721e+00
 2.0800e-01    1.4004e+02   -7.0386e-01    1.2714e+00
 2.0900e-01    1.4008e+02   -7.0346e-01    1.2710e+00
 2.1000e-01    1.4012e+02   -7.0302e-01    1.2703e+00
 2.1100e-01    1.4016e+02   -7.0249e-01    1.2695e+00
 2.1200e-01    1.4021e+02   -7.0186e-01    1.2689e+00
 2.1300e-01    1.4026e+02   -7.0114e-01    1.2682e+00
 2.1400e-01    1.4031e+02   -7.0034e-01    1.2674e+00
 2.1500e-01    1.4037e+02   -6.9946e-01    1.2666e+00
 2.1600e-01    1.4042e+02   -6.9850e-01    1.2656e+00
 2.1700e-01    1.4048e+02   -6.9748e-01    1.2649e+00
 2.1800e-01    1.4054e+02   -6.9642e-01    1.2638e+00
 2.1900e-01    1.4060e+02   -6.9534e-01    1.2630e+00
 2.2000e-01    1.4066e+02   -6.9421e-01    1.2620e+00
