PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 3.5900e-01    1.3847e+02   -9.0215e-01    1.0389e+00
 3.6000e-01    1.3848e+02   -9.0214e-01    1.0388e+00
 3.6100e-01    1.3848e+02   -9.0213e-01    1.0388e+00
 3.6200e-01    1.3848e+02   -9.0214e-01    1.0388e+00
 3.6300e-01    1.3848e+02   -9.0215e-01    1.0388e+00
 3.6400e-01    1.3848e+02   -9.0216e-01    1.0388e+00
 3.6500e-01    1.3849e+02   -9.0216e-01    1.0387e+00
 3.6600e-01    1.3849e+02   -9.0214e-01    1.0387e+00
 3.6700e-01    1.3849e+02   -9.0210e-01    1.0387e+00
 3.6800e-01    1.3849e+02   -9.0205e-01    1.0386e+00
 3.6900e-01    1.3849e+02   -9.0200e-01    1.0385e+00
 3.7000e-01    1.3850e+02   -9.0195e-01    1.0385e+00
 3.7100e-01    1.3850e+02   -9.0190e-01    1.0384e+00
 3.7200e-01    1.3850e+02   -9.0183e-01    1.0383e+00
 3.7300e-01    1.3850e+02   -9.0176e-01    1.0382e+00
 3.7400e-01    1.3850e+02   -9.0168e-01    1.0381e+00
 3.7500e-01    1.3851e+02   -9.0159e-01    1.0380e+00
 3.7600e-01    1.3851e+02   -9.0149e-01    1.0379e+00
 3.7700e-01    1.3851e+02   -9.0139e-01    1.0378e+00
 3.7800e-01    1.3852e+02   -9.0132e-01    1.0377e+00
 3.7900e-01    1.3852e+02   -9.0125e-01    1.0377e+00
 3.8000e-01    1.3852e+02   -9.0120e-01    1.0376e+00
 3.8100e-01    1.3853e+02   -9.0116e-01    1.0376e+00
 3.8200e-01    1.3853e+02   -9.0114e-01    1.0375e+00
 3.8300e-01    1.3853e+02   -9.0111e-01    1.0375e+00
 3.8400e-01    1.3853e+02   -9.0108e-01    1.0374e+00
 3.8500e-01    1.3854e+02   -9.0104e-01    1.0374e+00
 3.8600e-01    1.3854e+02   -9.0100e-01    1.0373e+00
 3.8700e-01    1.3854e+02   -9.0095e-01    1.0373e+00
 3.8800e-01    1.3854e+02   -9.0091e-01    1.0372e+00
 3.8900e-01    1.3855e+02   -9.0085e-01    1.0371e+00
 3.9000e-01    1.3855e+02   -9.0080e-01    1.0371e+00
 3.9100e-01    1.3855e+02   -9.0075e-01    1.0370e+00
 3.9200e-01    1.3855e+02   -9.0071e-01    1.0370e+00
 3.9300e-01    1.3856e+02   -9.0068e-01    1.0369e+00
 3.9400e-01    1.3856e+02   -9.0065e-01    1.0369e+00
 3.9500e-01    1.3856e+02   -9.0062e-01    1.0368e+00
