PROFILES: ELECTRIC POTENTIAL phi, MACH NUMBER U_z/cs, MACH NUMBER U_Bdir/c_s 
distance(mm)    phi(V)      U_z/cs(-)      U_Bdir/c_s(-)
 1.1700e-01    1.3544e+02   -9.6353e-01    1.1009e+00
 1.1800e-01    1.3546e+02   -9.6332e-01    1.1007e+00
 1.1900e-01    1.3547e+02   -9.6312e-01    1.1005e+00
 1.2000e-01    1.3548e+02   -9.6295e-01    1.1003e+00
 1.2100e-01    1.3549e+02   -9.6277e-01    1.1001e+00
 1.2200e-01    1.3550e+02   -9.6262e-01    1.1000e+00
 1.2300e-01    1.3551e+02   -9.6246e-01    1.0998e+00
 1.2400e-01    1.3552e+02   -9.6230e-01    1.0996e+00
 1.2500e-01    1.3553e+02   -9.6213e-01    1.0994e+00
 1.2600e-01    1.3554e+02   -9.6196e-01    1.0992e+00
 1.2700e-01    1.3555e+02   -9.6177e-01    1.0989e+00
 1.2800e-01    1.3556e+02   -9.6157e-01    1.0987e+00
 1.2900e-01    1.3557e+02   -9.6136e-01    1.0985e+00
 1.3000e-01    1.3558e+02   -9.6113e-01    1.0983e+00
 1.3100e-01    1.3560e+02   -9.6086e-01    1.0980e+00
 1.3200e-01    1.3562e+02   -9.6056e-01    1.0977e+00
 1.3300e-01    1.3563e+02   -9.6021e-01    1.0974e+00
 1.3400e-01    1.3565e+02   -9.5982e-01    1.0970e+00
 1.3500e-01    1.3567e+02   -9.5941e-01    1.0966e+00
 1.3600e-01    1.3570e+02   -9.5896e-01    1.0962e+00
 1.3700e-01    1.3572e+02   -9.5848e-01    1.0957e+00
 1.3800e-01    1.3574e+02   -9.5796e-01    1.0952e+00
 1.3900e-01    1.3577e+02   -9.5741e-01    1.0947e+00
 1.4000e-01    1.3580e+02   -9.5685e-01    1.0942e+00
 1.4100e-01    1.3582e+02   -9.5625e-01    1.0936e+00
 1.4200e-01    1.3585e+02   -9.5563e-01    1.0931e+00
 1.4300e-01    1.3588e+02   -9.5501e-01    1.0925e+00
 1.4400e-01    1.3591e+02   -9.5439e-01    1.0919e+00
 1.4500e-01    1.3594e+02   -9.5376e-01    1.0913e+00
 1.4600e-01    1.3597e+02   -9.5313e-01    1.0907e+00
 1.4700e-01    1.3600e+02   -9.5249e-01    1.0901e+00
 1.4800e-01    1.3603e+02   -9.5186e-01    1.0895e+00
 1.4900e-01    1.3606e+02   -9.5124e-01    1.0889e+00
